Code,name,latitude,longitude
6248,St-Dominique / Rachel,45.518593,-73.581566
6249,Bélanger / St-Denis,45.53696,-73.61199
6250,Marché Jean-Talon (Henri-Julien / Jean-Talon),45.53678525128436,-73.6148879583925
6251,de Gaspé / Dante,45.534357948228354,-73.61223131418228
6252,Mozart / St-Laurent,45.53318,-73.61544
6254,Boyer / Bélanger,45.54006,-73.60897
6255,Boyer / St-Zotique,45.53848,-73.60556
6257,de St-Vallier / St-Zotique,45.536261178519666,-73.60754549503326
6258,Parc Père-Marquette (Chambord / Rosemont),45.537087833013324,-73.59321847558022
6259,Dandurand / de Lorimier,45.540881,-73.584157
6260,Dandurand / Papineau,45.538699774322616,-73.58622193336485
6261,Louis-Hémon / Rosemont,45.54459855947176,-73.58822286128998
6262,de la Roche /  de Bellechasse,45.537159225331315,-73.59747648239136
6263,de Hampton / de Monkland,45.471161595177456,-73.62720608711243
6264,Chabot / de Bellechasse,45.5425697477813,-73.59214425086974
6265,Parthenais / Laurier,45.539258526059406,-73.5774591565132
6266,Louis-Hébert / de Bellechasse,45.546661109634606,-73.58868420124054
6267,Chabot / Beaubien,45.544375546398065,-73.59564453363419
6268,Chambord / Beaubien,45.539932183126695,-73.59934329986572
6269,Wurtele / de Rouen,45.537627813487596,-73.5533943772316
6270,Fabre / St-Zotique,45.54345172630376,-73.60101029276848
6272,de Bordeaux / St-Zotique,45.546539011777845,-73.59866470098495
6273,Cartier / Bélanger,45.546797412794085,-73.60266387462616
6274,de la Roche / St-Joseph,45.531164,-73.583695
6275,Chambord / Jean-Talon,45.54484558108033,-73.61053615808486
6276,de Normanville / Bélanger,45.542283266157455,-73.60702514648438
6277,Louis-Hébert / Beaubien,45.5481863712796,-73.592010140419
6278,Louis-Hébert / St-Zotique,45.55001,-73.59576
6279,Louis-Hébert / Bélanger,45.55158518908433,-73.59916493296623
6280,Casgrain / Fairmount,45.52509850918362,-73.593453168869
6281,Resther / St-Joseph,45.52788310112855,-73.58679324388504
6301,Parc Outremont (Bloomfield / Elmwood),45.518309446368,-73.60328614711761
6302,Stuart / de la Côte-Ste-Catherine,45.515634094300324,-73.60671132802963
6303,Dunlop / Van Horne,45.514905,-73.619682
6304,Rockland / Lajoie,45.515617,-73.614991
6305,Davaar / de la Côte-Ste-Catherine,45.514379,-73.610871
6306,Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy),45.510086,-73.611429
6307,Laval / Rachel,45.52017845247635,-73.57942387461662
6309,4e avenue / de Verdun,45.4568844514464,-73.57260704040527
6310,de Darlington / de la Côte-Ste-Catherine,45.505403247020155,-73.62116575241089
6311,Drolet / St-Zotique,45.53488214147823,-73.60941231250763
6312,de Kent / de la Côte-des-Neiges,45.50144933057703,-73.63305062055588
6313,Palm / St-Remi,45.470303,-73.589848
6314,de Lanaudière / Marie-Anne,45.529219,-73.574777
6315,Métro Côte-des-Neiges (Jean-Brillant / de la Côte-des-Neiges),45.49626477461565,-73.62154394388199
6316,Swail / Decelles,45.49705494399436,-73.61865252256392
6321,Gary-Carter / St-Laurent,45.5359846850061,-73.62254440784454
6322,St-Dominique / Gounod,45.538737949470644,-73.62802147865295
6323,Guizot / St-Laurent,45.54040935854951,-73.63421201705933
6324,de Liège / Lajeunesse,45.545603545552744,-73.63474041223526
6327,Drolet / Faillon,45.53926979810152,-73.6208787560463
6328,Henri-Julien / Villeray,45.539487469364325,-73.62355560064316
6329,Drolet / Gounod,45.54095134225734,-73.62637460231781
6330,de Gaspé / Jarry,45.540780049797995,-73.63040059804916
6331,Guizot / St-Denis,45.543423548290185,-73.63246187567711
6332,de Gaspé / de Liège,45.54248521237199,-73.63634169101715
6333,Leman / de Chateaubriand,45.547218,-73.631103
6334,Métro Jarry (Lajeunesse / Jarry),45.54371190262865,-73.62828433513641
6335,du Rosaire / St-Hubert,45.54481928225348,-73.6215104162693
6336,Faillon / St-Hubert,45.54297175887712,-73.61793905496597
6338,Boyer / Jarry,45.54732888629788,-73.625328540802
6339,Harvard / de Monkland,45.47458399336903,-73.62408936023712
6340,de la Roche / Everett,45.544867,-73.614841
6341,Regina / de Verdun,45.467369,-73.570769
6343,Marquette / Villeray,45.55068361610596,-73.61529305577278
6344,St-Dominique / Jean-Talon,45.535246553131074,-73.61771240830421
6345,Louis-Hémon / Villeray,45.55496126357668,-73.61073732376097
6346,Nicolet / Sherbrooke,45.5497698195695,-73.5548534989357
6347,Métro St-Michel (Shaughnessy / St-Michel),45.559199,-73.599658
6349,Ryde / Charlevoix,45.4757434,-73.5646007
6350,Island / Centre,45.48149081388884,-73.56475353240967
6354,Marcil / Sherbrooke,45.471743,-73.613924
6355,Ontario / Sicard,45.55626186680846,-73.53744059801102
6356,de Monkland / Girouard,45.47710675189806,-73.6214379966259
6357,12e avenue / St-Zotique,45.556905,-73.58925
6358,1ère  avenue / St-Zotique,45.551937362101,-73.59392791986465
6359,Ste-Catherine / St-Laurent,45.50981336049594,-73.5638952255249
6360,8e avenue / Beaubien,45.553215,-73.58752
6361,Molson / Beaubien,45.54968589617967,-73.59115451574326
6362,1ère avenue / Rosemont,45.54779995287998,-73.58486741781235
6363,de la Côte St-Antoine / Royal,45.468926984877434,-73.6198702454567
6364,de Chambly / Rachel,45.54991069359101,-73.55826258659361
6366,Wilderton  / Van Horne,45.510042,-73.624835
6367,3e avenue / Dandurand,45.547362,-73.579221
6368,10e avenue / Masson,45.55031640880025,-73.57335805892944
6369,U. Concordia - Campus Loyola (Sherbrooke / West Broadway),45.45750908083069,-73.6394852399826
6370,d'Orléans / Masson,45.557192,-73.569847
6371,4e avenue / Masson,45.546978,-73.575515
6372,1ère avenue / Masson,45.5451997,-73.57645065
6373,7e avenue / St-Joseph,45.547226645250745,-73.56986984610558
6374,15e avenue / Masson,45.55389801568004,-73.5713866353035
6375,Métro Place St-Henri (St-Ferdinand / St-Jacques),45.477249,-73.587238
6376,16e avenue / St-Joseph,45.55292309731551,-73.56575198471546
6377,Grand Trunk / Hibernia,45.47968,-73.56385
6379,de l'Église / Bannantyne,45.4632535358533,-73.57587933540344
6380,Parc J.-Arthur-Champagne (de Chambly / du Mont-Royal),45.551584,-73.561916
6381,Omer-Lavallée / du Midway,45.5457759528664,-73.56217458844185
6383,Bourbonnière / du Mont-Royal,45.55357073967113,-73.56049418449402
6384,Darling / Sherbrooke,45.54545890380305,-73.55666935443878
6385,de Bordeaux / Gilford,45.53611005443118,-73.5762870311737
6386,Métro Préfontaine (Moreau / Hochelaga),45.5414350841351,-73.55431437492369
6387,Métro Joliette  (Joliette / Hochelaga),45.54690718297082,-73.5515570640564
6388,d'Orléans / Hochelaga,45.550669352823476,-73.54903580853716
6389,Boyer / Jean-Talon,45.54158631132448,-73.61248075962067
6391,Aylwin / Ontario,45.544284173851494,-73.54533970355988
6393,Dézéry / Ontario,45.54111008519643,-73.54754984378815
6394,Valois / Ontario,45.54716076886967,-73.54377329349518
6395,Métro Viau (Pierre-de-Coubertin / Viau),45.561782815423854,-73.54661107063293
6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421375524564,-73.55155974626541
6397,Marché Maisonneuve,45.55321884238814,-73.53978216648102
6398,de la Salle / Ontario,45.5518533690369,-73.54042053222656
6401,des Seigneurs / Notre-Dame,45.48772278774177,-73.5690826177597
6402,Ste-Émilie / Sir-Georges-Etienne-Cartier,45.47266800851548,-73.585389778018
6403,Georges-Vanier / Notre-Dame,45.485047979822774,-73.5719633102417
6404,Quesnel / Vinet,45.485889,-73.577514
6405,Duvernay / Charlevoix,45.48203995,-73.57486278
6406,Marché Atwater,45.48020822800015,-73.57759863138199
